dialerLeadId,Final_Output,Sales_Probability,Predictive_Sales_Probability,No_Sales_Probability
2329935,0,1.850622728,21.62167466,76.52770261
2911205,0,1.195479447,23.98041653,74.82410403
3209902,1,0.003158859,98.21495484,1.781886297
3358518,0,0.230043982,25.88706563,73.88289039
2340355,0,0.321736263,19.90618968,79.77207406
2506352,0,0.68321082,18.06106412,81.25572506
1.80017E+12,1,0.002210497,99.90559069,0.092198811
3347107,0,0.340546952,20.84229598,78.81715706
3386763,0,0.479526568,25.11480707,74.40566637
2657440,1,0.015745556,91.9268175,8.057436949
2658423,0,0.266754376,21.79065063,77.942595
2344395,1,0.00350536,97.18574141,2.810753228
2544803,0,0.495857084,21.41029014,78.09385277
2608507,2,91.85123936,1.627042252,6.521718388
2341383,1,0.003799746,97.86278385,2.133416403
2557960,0,0.229224,16.92912149,82.84165451
1.80017E+12,1,0.002210919,99.91189056,0.085898521
3334545,0,0.217674304,21.09908706,78.68323863
2333164,0,0.022367101,17.20706633,82.77056656
2344479,0,0.269868082,24.5369454,75.19318652
2337458,1,0.011675646,69.24885548,30.73946888
3077423,0,0.226499659,12.43023071,87.34326963
2671856,0,0.034384647,37.876357,62.08925835
2979040,1,0.003222677,97.78221436,2.214562964
2657453,0,0.298697006,23.01135254,76.68995045
2659317,1,0.002888693,98.05915429,1.937957017
3215308,1,0.001083042,99.77227969,0.226637265
2594976,1,0.016419461,94.21529125,5.768289288
2577003,1,0.016395141,93.46236738,6.521237477
2692782,0,0.219481958,17.21535905,82.56515899
1.80017E+12,1,0.002210919,99.91189056,0.085898521
2550966,1,0.0197169,91.34917028,8.631112818
1.80017E+12,1,0.002437971,99.89801555,0.099546475
3314233,1,0.002866168,99.77575387,0.221379962
2611667,1,0.039372473,73.15657265,26.80405487
3295474,2,72.84999282,3.766990803,23.38301638
2632250,1,0.021227584,55.04027087,44.93850155
1.80017E+12,1,0.002210919,99.91189056,0.085898521
2511667,0,0.376849776,18.38402679,81.23912343
1.80017E+12,1,0.002210919,99.91189056,0.085898521
2604629,0,0.022367101,17.20706633,82.77056656
3276961,0,0.087852944,17.10687648,82.80527058
1.80017E+12,1,0.002210497,99.90559069,0.092198811
2973939,1,0.002099003,98.22508081,1.77282019
3372055,0,0.089488526,15.35086579,84.55964568
3096105,0,0.149233425,27.26942515,72.58134143
3238187,0,0.379280427,19.86849041,79.75222916
3046392,1,0.006156537,84.74252591,15.25131756
2655901,0,46.03538537,5.29977294,48.66484169
2589578,0,0.400533429,12.97388273,86.62558384
2658557,0,0.231207151,26.62099542,73.14779743
2921267,1,0.011855948,94.46469625,5.523447806
1.80017E+12,1,0.002210919,99.91189056,0.085898521
2931918,1,0.021591886,94.23426515,5.744142968
1.80017E+12,1,0.002999517,99.86680994,0.130190539
3388909,0,0.222042162,24.12453825,75.65341959
2684383,0,0.152509235,8.044062027,91.80342874
2344059,0,0.094023764,15.68588563,84.22009061
1.80017E+12,1,0.002210919,99.91189056,0.085898521
2312769,0,0.111472055,26.64768068,73.24084726
3230225,0,0.208157514,24.04889174,75.74295075
2956303,0,0.261928386,20.59648052,79.14159109
2544526,0,0.297018822,18.64677964,81.05620154
2993700,0,0.131839432,6.160782884,93.70737768
2915642,0,0.290372423,24.47015312,75.23947446
2973021,0,0.257014291,26.6004667,73.14251901
2568486,1,0.016308234,91.24385556,8.739836203
1.80017E+12,1,0.002437971,99.89801555,0.099546475
2599714,0,0.308290646,24.86180656,74.82990279
2591471,0,0.278647301,21.57745378,78.14389892
2321376,0,0.034965533,3.57872587,96.3863086
2924863,1,0.021085545,94.50688833,5.472026126
3277092,1,0.018420268,95.7991658,4.182413936
3118269,0,0.023320269,23.82639263,76.1502871
2592813,1,0.017862869,91.4603129,8.521824236
1.80017E+12,1,0.002210919,99.91189056,0.085898521
2999891,0,0.130579112,6.127006478,93.74241441
3007042,1,0.337705699,79.12420436,20.53808994
2632901,0,0.508155655,21.14238238,78.34946197
2528160,1,0.012598987,95.05796625,4.929434762
1.80017E+12,1,0.002210919,99.91189056,0.085898521
1.80017E+12,1,0.002210919,99.91189056,0.085898521
2990383,0,0.142482119,19.71710132,80.14041656
2341012,1,0.003358879,98.06653202,1.930109099
2322196,0,0.133438184,16.8591714,83.00739042
2604605,1,0.017663352,94.00664114,5.97569551
2934193,1,0.01640184,93.23962888,6.743969282
2598324,0,0.92483714,38.26527937,60.80988349
2591141,2,91.22370835,1.701855681,7.074435971
2560009,0,0.048085794,5.809594275,94.14231993
1.80017E+12,1,0.002210497,99.90559069,0.092198811
2927433,2,50.17659412,7.891754333,41.93165155
2985995,0,0.013780727,15.8761359,84.11008337
2944959,1,0.004287956,97.57027275,2.425439294
2621356,1,0.003358939,98.15589619,1.840744868
3352155,0,0.025515485,33.76990174,66.20458278
3358279,0,0.367913379,25.40477444,74.22731219
2684160,0,0.131121456,6.416658315,93.45222023
2360119,1,0.01596206,97.26665938,2.71737856
2758317,0,0.163811937,34.47871497,65.35747309
2522242,0,0.371752266,18.06995527,81.55829247
1.80017E+12,1,0.002210919,99.91189056,0.085898521
3415514,0,0.311721324,25.5688572,74.11942147
1.80017E+12,1,0.002210919,99.91189056,0.085898521
2928167,0,0.130579112,6.127006478,93.74241441
2576464,1,0.011985739,95.6812996,4.306714665
2583830,1,0.014499068,93.42053394,6.564966991
2670208,1,0.02389654,73.66918779,26.30691567
2364468,1,0.003506589,98.07814953,1.918343884
2330485,0,0.307616788,20.7393988,78.95298441
1.80017E+12,1,0.002210497,99.90559069,0.092198811
2963606,1,0.002878208,98.39919143,1.59793036
2633896,0,0.268193435,19.91589361,79.81591296
3186834,1,0.010147723,86.17031325,13.81953903
2360201,0,0.338532328,24.01210891,75.64935876
2595834,0,0.131121456,6.416658315,93.45222023
2693990,0,0.034632547,3.521583004,96.44378445
2914769,1,0.00371404,97.99187011,2.004415847
3041909,0,0.129928663,13.03874748,86.83132385
3200173,1,0.006091958,95.10907647,4.884831572
2601843,0,0.372814036,18.17753122,81.44965474
2660629,0,0.022621281,17.39472653,82.58265219
3374649,0,0.12317845,18.31847172,81.55834984
2516583,1,0.003807899,97.91644513,2.079746973
2656331,1,0.225064263,74.60357997,25.17135577
2857730,0,0.349411384,24.23226427,75.41832434
2693680,0,0.025489899,23.67600342,76.29850668
3094133,0,0.132253516,7.528638889,92.33910759
3420432,1,0.003217204,97.81435695,2.182425849
2983523,1,0.00371404,97.99187011,2.004415847
3222277,1,1.179542048,50.00502718,48.81543078
1.80017E+12,1,0.002210919,99.91189056,0.085898521
3046558,1,0.006689891,85.42740151,14.5659086
2995143,0,0.102509258,16.62260609,83.27488465
2365259,0,0.266495773,23.5973057,76.13619853
3117047,0,0.020468198,37.96292174,62.01661006
2692324,1,0.006038766,88.86638762,11.12757361
2690896,0,0.1501984,27.67385442,72.17594718
2686085,0,0.384013132,18.3178285,81.29815837
2941243,1,0.003201389,98.14877749,1.848021122
3372933,0,0.035041009,3.384056987,96.580902
2841475,1,0.003241391,97.56407628,2.432682326
2943529,1,0.004287013,97.15713808,2.838574907
2963336,2,54.75476144,5.619049486,39.62618908
2567711,2,83.61727482,1.853480173,14.529245
3220182,0,0.226335703,27.33672839,72.43693591
3209046,1,0.00314206,98.2098704,1.786987541
2640410,0,0.022367101,17.20706633,82.77056656
2655974,0,0.379631934,14.94714486,84.67322321
3308323,1,0.021456914,79.23617401,20.74236908
2321355,0,0.140904475,5.256711493,94.60238403
2764702,0,0.271555685,28.02770286,71.70074145
2997305,1,0.00251435,98.21291141,1.784574236
3E+12,1,0.002287993,96.94658967,3.051122342
3302581,1,0.008238066,98.42398868,1.567773251
3248910,0,0.027370178,38.58925723,61.3833726
2682242,0,0.236026058,24.34453611,75.41943783
3019954,1,0.003400186,97.7197555,2.276844317
2963137,1,0.008743474,98.20287765,1.788378879
3347766,1,0.003117985,98.15552318,1.841358833
2566253,0,0.150141343,12.51280128,87.33705737
3150149,0,0.028042131,45.71873272,54.25322515
3108269,1,0.026689565,50.7868058,49.18650464
3187643,0,0.231398105,27.16168033,72.60692157
2337871,0,0.326539804,10.03076088,89.64269931
1.80017E+12,1,0.002463988,99.88520211,0.112333902
2338621,0,0.035306358,3.668957219,96.29573642
2628175,0,0.038379136,4.367061694,95.59455917
2915659,1,0.011056653,95.94049241,4.048450937
2625366,1,0.0032033,97.65185348,2.344943221
1.80017E+12,1,0.002210919,99.91189056,0.085898521
3320922,0,0.031187245,27.05597887,72.91283388
2949505,0,0.096547136,23.60055916,76.3028937
2698066,1,0.003035084,97.37039141,2.626573503
2343221,1,0.11332446,91.84186929,8.044806254
2640569,0,0.135364201,10.45535621,89.40927958
2563649,0,0.185371028,18.84009409,80.97453488
2921500,0,0.022972513,45.89381069,54.0832168
3252112,0,0.29786148,19.02419163,80.67794689
1.80017E+12,1,0.002210919,99.91189056,0.085898521
2956376,0,0.153386412,14.20792412,85.63868947
3382535,1,0.09804079,78.46762456,21.43433465
2342865,1,0.003373453,96.71184495,3.284781598
2930302,0,0.048944013,5.947712838,94.00334315
2680336,0,0.219392134,16.16381514,83.61679273
3050921,0,0.035279695,3.643131822,96.32158848
3308796,0,0.147023881,8.804363412,91.04861271
2352131,2,92.07370268,1.696298533,6.229998782
2545773,1,0.016915201,91.1286161,8.854468704
2323517,0,0.240531126,17.99506287,81.76440601
2756450,1,0.001463467,98.18985219,1.808684345
2362560,1,0.00328489,98.12367528,1.873039826
2609884,0,0.318691288,10.46750233,89.21380638
2511095,0,0.399547292,19.21878871,80.381664
2355028,0,0.154604266,6.008862365,93.83653337
3211271,0,0.013207305,19.38615651,80.60063618
3131707,0,0.231573484,27.060107,72.70831952
2357219,1,0.00350536,97.75064448,2.24585016
2632877,1,0.007546723,98.32390255,1.668550729
2342505,1,0.003530349,97.28612171,2.710347946
3401727,0,0.218370888,16.25726058,83.52436853
1.80017E+12,1,0.002210919,99.91189056,0.085898521
3376333,0,0.141750679,18.82263456,81.03561476
2319729,1,0.010856854,93.02538074,6.963762408
3137350,0,0.691019682,23.29168366,76.01729666
3221830,1,0.019851921,83.18155816,16.79858992
3358284,0,0.545494312,35.03343026,64.42107542
2997793,1,0.003284713,97.36840164,2.628313647
3238742,1,0.001464136,98.44253024,1.556005627
3186450,0,0.023142222,21.93157614,78.04528164
3284226,1,0.015664639,98.06796744,1.916367924
2845494,1,0.014866153,95.96018963,4.024944216
3218344,1,0.002407799,98.37016159,1.627430612
2360157,0,0.286392483,19.05277696,80.66083056
2957343,1,0.008487423,98.25197838,1.739534196
3264334,0,0.031283388,27.37601513,72.59270149
3262046,1,0.002355951,98.11690455,1.880739503
2665623,1,0.002513572,96.81726192,3.180224506
2948708,1,0.003276583,98.02609628,1.970627133
2602897,0,18.83629696,4.978086093,76.18561695
3418956,0,0.352712421,19.90278418,79.7445034
2584416,0,9.801421436,2.711014684,87.48756388
1.80017E+12,1,0.002210919,99.91189056,0.085898521
2560751,0,0.154604266,6.008862365,93.83653337
3006929,0,0.924735767,17.42269599,81.65256825
2502553,1,0.035038583,90.85527591,9.10968551
2354110,0,0.666518286,14.28442303,85.04905868
3011926,1,0.011847646,96.27797418,3.710178173
3031235,0,0.035279695,3.643131822,96.32158848
3081219,1,0.017504355,90.99570745,8.986788191
3101754,1,0.012959829,86.4840411,13.50299907
2344158,0,0.022367101,17.20706633,82.77056656
1.80017E+12,1,0.002210919,99.91189056,0.085898521
3356838,1,0.024783527,77.72004881,22.25516767
2945242,1,0.003474159,97.07123635,2.925289494
2366257,2,64.63842968,1.484104282,33.87746604
2546297,0,0.231075026,26.66129959,73.10762539
2988060,1,0.022859681,93.65634222,6.320798099
1.80017E+12,1,0.002437971,99.89801555,0.099546475
2616921,0,0.022435796,17.20941888,82.76814532
2510945,0,0.034179823,3.473803993,96.49201618
1.80017E+12,1,0.002210497,99.90559069,0.092198811
2329032,0,0.141260217,15.41626842,84.44247136
2583660,1,0.022335608,85.90740574,14.07025865
2313403,0,0.305812053,16.59731993,83.09686802
2984901,1,0.010754755,97.29326046,2.695984785
2357347,1,0.020319829,89.7477075,10.23197267
2699808,0,0.147015451,26.91400644,72.93897811
3303385,1,0.002069742,98.44581825,1.552112005
3396639,1,0.002376762,98.15278948,1.844833759
2986031,1,0.010620556,90.79369688,9.195682564
2982829,0,0.343641245,24.66552459,74.99083416
3388895,0,0.022367101,17.20706633,82.77056656
1.80017E+12,1,0.002210497,99.90559069,0.092198811
2997351,0,0.075206363,2.537784337,97.3870093
3012385,0,0.089059249,28.66867715,71.2422636
2605958,1,0.012635105,95.11786996,4.869494938
3230390,1,0.002488557,97.6014622,2.396049244
3188941,0,0.022621281,18.66265794,81.31472078
2668261,0,0.219764778,18.47244777,81.30778745
2638445,1,0.012471256,96.18210478,3.805423961
2957699,0,0.364712444,14.38892151,85.24636605
2E+12,1,0.002062656,99.87373992,0.124197426
2964607,1,0.003468779,98.01809305,1.978438176
3287923,0,0.227539483,28.4027692,71.36969132
3383865,1,0.003456062,97.56956114,2.426982797
2349612,2,67.22741745,7.107270879,25.66531167
3002349,1,0.004330848,97.39192852,2.603740633
3323171,1,0.019610224,88.39556065,11.58482913
3111608,0,0.953866466,23.35826222,75.68787131
2577046,1,0.08003275,76.48875696,23.43121029
3248512,0,0.41818221,17.5715747,82.01024309
3251916,0,0.277057209,19.6009342,80.12200859
1.80017E+12,1,0.002210919,99.91189056,0.085898521
2995561,0,0.175012124,14.80272931,85.02225856
3183115,0,0.145921946,25.36456128,74.48951678
2647162,0,0.131898556,14.88782239,84.98027905
2508439,0,0.227942499,18.44638997,81.32566753
2926091,1,0.018610116,92.6778192,7.303570686
3061258,1,0.023269661,90.08057335,9.89615699
3262857,1,0.002821371,96.90045284,3.09672579
3E+12,1,0.002287993,96.94658967,3.051122342
2913930,1,0.014034014,95.57209377,4.413872212
3326624,1,0.021619031,80.57225048,19.40613049
2571708,2,73.0339183,4.883004866,22.08307684
3046335,1,0.055469774,90.55759685,9.386933373
2369207,0,0.027514315,37.20877854,62.76370714
3372193,0,0.352952247,22.84301161,76.80403614
3236760,1,0.002448197,98.38293625,1.614615552
2355824,0,0.27639609,22.74403092,76.97957298
3278686,0,0.145615968,37.4558258,62.39855823
2765468,0,0.392512455,26.42766274,73.17982481
2609084,0,0.219227481,19.92135787,79.85941465
3106683,0,0.066856291,21.86174155,78.07140216
2523658,0,0.310655546,17.19657036,82.4927741
3316558,0,0.238376193,22.90197096,76.85965285
2645076,0,0.334605118,18.25079233,81.41460255
3095501,0,0.022367101,17.20706633,82.77056656
2550925,2,92.02908361,2.061256472,5.909659918
2345835,0,0.873781338,14.80127327,84.32494539
3079937,1,0.017505031,90.87830145,9.104193515
3198945,0,0.032246891,28.19674376,71.77100935
3303176,1,0.003384421,97.52340702,2.473208557
2902026,1,0.001958206,98.3499892,1.648052597
2918307,0,0.131951123,7.191936238,92.67611264
3194714,1,0.007393471,94.221836,5.770770532
2368342,0,0.140945944,5.328068988,94.53098507
3401733,0,0.011767088,17.84127616,82.14695676
1.80017E+12,1,0.002210919,99.91189056,0.085898521
2499830,0,0.035198414,3.660702933,96.30409865
3285291,0,0.014228915,16.61735339,83.3684177
3122586,1,0.012602455,95.11928255,4.868114999
2663673,1,0.002833713,98.22184933,1.775316953
3120315,1,0.017284814,93.40532486,6.577390322
2343069,0,0.196048957,19.26773648,80.53621456
2688330,1,0.009148004,98.0692842,1.921567797
3314228,1,0.019930495,99.77816606,0.201903443
1.80017E+12,1,0.002210919,99.91189056,0.085898521
2998770,0,0.012078669,17.55189792,82.43602341
3103561,1,0.012920974,86.2392895,13.74778953
3102354,0,0.23171581,26.14865743,73.61962676
1.80017E+12,1,0.002210919,99.91189056,0.085898521
3031649,0,0.13463142,23.16662461,76.69874397
3237142,1,0.002485784,98.12743471,1.870079505
3313870,0,0.1343806,21.51501303,78.35060637
2680184,0,0.050471574,4.809464757,95.14006367
3223113,1,0.003320757,98.21350649,1.783172749
3402178,1,0.096522122,65.1516784,34.75179948
3193341,0,0.30795904,24.94642948,74.74561148
2339606,1,0.004541802,97.83271333,2.162744873
2921829,0,0.094581784,22.51338129,77.39203692
2324255,0,0.232416947,13.74845352,86.01912953
2594819,1,0.015647644,94.43523823,5.549114126
2605080,0,0.2714675,21.14867197,78.57986053
2355602,0,0.219173294,15.80582328,83.97500343
2511781,0,0.152073188,7.66682243,92.18110438
2E+12,1,0.002999517,99.86680994,0.130190539
2668117,1,0.013076115,96.93257641,3.054347471
2631245,2,59.23833478,2.142601284,38.61906393
2E+12,1,0.002999517,99.86680994,0.130190539
2659557,1,0.011892526,95.52239625,4.465711227
2659829,1,0.017941929,86.67989268,13.30216539
1.80017E+12,1,0.002463988,99.88520211,0.112333902
3231193,0,0.027514315,37.20877854,62.76370714
3005684,1,0.008428236,98.23244632,1.759125445
1.80017E+12,1,0.002437971,99.89801555,0.099546475
3000093,0,0.049180035,4.720696448,95.23012352
2504666,1,0.003298098,97.41751062,2.579191278
2656375,0,0.30585488,17.04323384,82.65091128
2E+12,1,0.002999517,99.86680994,0.130190539
3414391,0,0.024775236,26.2213892,73.75383556
3273702,0,0.038379136,4.349675918,95.61194495
3213339,2,79.90110179,2.405025877,17.69387233
3083584,1,0.02296649,63.73465643,36.24237708
2544572,0,0.231007043,27.53418544,72.23480752
3201382,1,0.001843555,97.07586317,2.922293273
3047780,0,0.096360236,21.95492973,77.94871004
3347785,0,0.269554083,34.46378748,65.26665843
2654538,1,0.023467695,79.20968374,20.76684857
3031483,1,0.017272531,92.48005748,7.502669989
1.80017E+12,1,0.002437971,99.89801555,0.099546475
3012492,0,0.560706033,30.95842423,68.48086974
1.80017E+12,1,0.002210919,99.91189056,0.085898521
3199852,1,0.002153395,97.17349868,2.824347929
2512881,0,0.370287442,22.79028312,76.83942943
2332139,0,0.154396314,5.409889781,94.4357139
3076658,2,89.54649136,2.344228066,8.10928057
3373070,0,0.049533628,4.802471963,95.14799441
2520272,1,0.014492555,95.25472428,4.730783165
1.80017E+12,1,0.002210497,99.90559069,0.092198811
3018868,0,0.332054778,24.18493996,75.48300526
2549816,1,0.018672486,93.28761909,6.693708422
2657172,1,0.003981579,97.80952889,2.186489535
2697113,0,0.298697006,23.01135254,76.68995045
2625581,0,0.225503955,22.06550618,77.70898987
2512664,1,0.365200693,76.69381572,22.94098359
3241254,0,0.227663497,27.49917355,72.27316296
2512237,0,0.343035228,20.37812681,79.27883796
3042100,1,0.047876091,87.9352889,12.01683501
2655983,1,0.002464153,99.87217911,0.125356739
2343986,1,0.003807899,97.91644513,2.079746973
2689734,0,0.133099242,19.27455841,80.59234234
2336652,0,0.15493148,5.6299307,94.21513782
3066551,0,0.22642862,38.84294569,60.93062569
3022743,0,0.509820926,20.80074829,78.68943078
2572145,0,0.350965357,21.69280032,77.95623432
3241001,1,0.003497725,97.77775329,2.218748986
2907908,1,0.014634532,93.7537764,6.231589069
3198094,1,0.005355426,97.43932057,2.555324001
2368665,0,0.020939778,25.48798251,74.49107771
2616400,1,0.003228923,98.25029356,1.746477515
2693824,0,0.027037227,35.53877903,64.43418374
2672597,1,0.00338335,97.68110164,2.315515012
2651685,0,0.231318843,26.65868634,73.10999481
2674231,0,0.220700575,15.59721828,84.18208114
2620208,0,0.021089195,19.696277,80.28263381
2966992,0,0.142235112,17.72441019,82.1333547
3048375,1,0.01107537,70.55843445,29.43049018
2337985,0,0.154289533,5.952357168,93.8933533
2311848,1,0.00803135,74.82257816,25.16939049
1.80017E+12,1,0.002210919,99.91189056,0.085898521
2602555,1,0.016522651,89.00901227,10.97446508
3139321,1,0.002510832,97.04350523,2.953983933
3109688,0,0.274652261,20.51664484,79.2087029
2510936,0,0.035198414,3.660702933,96.30409865
3252384,0,0.224758685,23.82707997,75.94816135
2562813,0,0.157664025,6.390541373,93.4517946
2944748,0,0.26889434,29.51306635,70.21803931
2357363,0,0.140746497,5.2236245,94.635629
3251879,0,0.231702791,26.52113394,73.24716326
2665441,0,0.024009099,22.95962901,77.01636189
2601113,0,0.035312219,3.431772618,96.53291516
3036666,0,3.737186645,33.29349108,62.96932227
2328893,1,0.003318665,98.04660821,1.950073121
3326073,1,0.003249815,98.29141293,1.705337255
2617612,0,0.140435816,15.49907401,84.36049017
2586903,1,0.027177889,86.04536103,13.92746108
3209700,1,0.002489936,98.29135862,1.706151445
2687444,0,0.995858705,13.23907341,85.76506788
2997938,1,0.002154326,98.20106532,1.796780356
3321978,1,0.004305725,97.94326087,2.052433403
3080193,1,0.013362294,89.96510954,10.02152817
2957313,1,0.028541505,58.30591033,41.66554816
2553093,0,0.145225787,19.6461139,80.20866032
2588508,0,0.369727827,20.36475006,79.26552211
2994540,1,0.064693496,88.45307433,11.48223218
3100504,1,0.022625806,82.63848117,17.33889303
2681535,1,0.003124998,98.12360047,1.873274529
2558695,0,0.435210656,21.34168326,78.22310608
3152140,2,49.01640973,6.894474918,44.08911535
2591059,1,0.014279306,79.42808202,20.55763867
3235097,1,0.002557335,96.35458897,3.642853694
2701081,0,0.381419344,17.50209882,82.11648184
3020922,1,0.068378839,92.39974994,7.531871217
2680934,0,0.30900476,18.86511561,80.82587963
3285318,1,0.124804301,72.6246861,27.2505096
2961704,1,0.003322194,98.06787361,1.928804197
2701469,0,0.22581571,23.54198304,76.23220125
3258669,0,0.380445269,19.30610146,80.31345327
3189767,0,0.135647766,19.79284955,80.07150268
2333519,1,0.132977882,66.1298717,33.73715042
2900916,1,0.011671382,92.06837362,7.919954997
3314209,1,0.002866168,99.77575387,0.221379962
2624703,1,0.003442849,97.47271466,2.523842492
2322283,1,0.017143176,92.84948347,7.133373355
3081824,1,0.016161325,94.21475168,5.769087
2915253,0,1.156345932,22.57587533,76.26777874
3347535,0,0.142461839,23.37401537,76.48352279
2647121,0,0.107814984,18.03991692,81.85226809
3402183,1,0.011944593,92.32233398,7.665721429
3268497,0,0.231077824,26.50856846,73.26035372
3348982,0,0.320965425,11.23372987,88.44530471
3305701,1,0.003630391,98.01932376,1.977045845
2960010,0,0.616737622,20.30730879,79.07595359
3350068,0,0.253168687,20.01699315,79.72983816
2654510,0,0.231398105,27.31096642,72.45763547
3086323,0,0.237504634,13.41704645,86.34544892
3358799,1,0.00389478,96.49006407,3.50604115
2700372,1,0.004599716,97.36808013,2.627320152
3211324,1,0.00371404,97.99187011,2.004415847
1.80017E+12,1,0.002210919,99.91189056,0.085898521
2643447,1,0.011052569,95.63646766,4.352479766
2568680,1,0.011550768,95.86312096,4.125328273
3358210,0,0.196455717,24.57727294,75.22627135
2346122,0,0.297492354,22.10914633,77.59336132
2538613,1,0.001094853,99.76715425,0.231750898
2615571,1,0.003341334,98.12121351,1.87544516
2642037,1,0.011895913,95.7576677,4.230436383
2959835,1,0.002099003,98.21708619,1.780814811
2899295,1,0.027039008,67.10471944,32.86824156
3224912,1,0.002549478,98.2980404,1.699410125
2937032,1,0.003135701,96.62493454,3.371929759
2877056,1,0.014200057,96.1539708,3.831829142
